"Date","city","original_start","wave","citycode","New_cases","New_cases_smooth","growth_rate","I","Mean.R.","Std.R.","Quantile.0.025.R.","Quantile.0.05.R.","Quantile.0.25.R.","Median.R.","Quantile.0.75.R.","Quantile.0.95.R.","Quantile.0.975.R.","variant","GDP","pop_density","pop","Doctor.number","VG","Label_q","Temp","Hum","total_vaccination_rate","fully_vaccination_rate","boost_dose_rate","Practical.vaccination","Control","Mass_screening","Medicine_Management","Logistics_Management","School_Closure","Workplace_Closure","Gathering_restriction","Public_Transportation_Closure","Business_Premises_Closure","Facial_Mask","Lockdown","Static_management","Screening"
2022-04-07,"宁波市","2022-03-28",1,330200,2,3.2256,0.98,3.2256,0.975060702916936,0.202290833407921,0.619687487369201,0.66782802484171,0.832089786362958,0.961107534022573,1.10283653243935,1.3298994513652,1.40968475910837,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,290.144032728926,0.00772535307265484,1.01378959327217,0.988687832721712,0.589911870183486,0.68805915398318,0.5,0.257142857142857,1,0.833333333333334,0.333333333333333,0.75,0.866666666666667,0.6875,0.52,1,0.52,0.5423,0.628571428571429
2022-04-08,"宁波市","2022-03-28",1,330200,3,3.2727,1.01,3.2727,0.934958489938387,0.199675375310879,0.585409104192339,0.632485530285062,0.793680368218318,0.920782926071683,1.06080029540341,1.28579693664482,1.36501916175421,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,289.883048516905,0.00686426467972879,1.01378959327217,0.988687832721712,0.589911870183486,0.68805915398318,0.5,0.257142857142857,1,0.875,0.333333333333333,0.8125,0.916666666666667,0.6875,0.55,1,0.6,0.612,0.628571428571429
2022-04-09,"宁波市","2022-03-28",1,330200,4,3.3615,1.03,3.3615,0.877974565763534,0.196204864193359,0.536465661129515,0.582020737044225,0.738907673590494,0.863403021850708,1.0011756108623,1.2236460288349,1.30223905305255,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,290.894086836586,0.00831191572638917,1.01378959327217,0.988687832721712,0.589911870183486,0.68805915398318,0.666666666666667,0.257142857142857,1,0.916666666666667,0.333333333333333,0.875,0.916666666666667,0.6875,0.55,1,0.6,0.6145,0.628571428571429
2022-04-10,"宁波市","2022-03-28",1,330200,4,3.3456,1,3.3456,0.768984121654787,0.187887117235817,0.445927355406131,0.48814082315818,0.635336565016486,0.753737188176507,0.886034395720186,1.10185206319814,1.17862102923222,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,292.627333016797,0.0101768522795019,1.01378959327217,0.988687832721712,0.589911870183486,0.68805915398318,0.533333333333333,0.257142857142857,1,0.916666666666667,0.333333333333333,0.875,0.916666666666667,0.6875,0.55,1,0.6,0.6145,0.628571428571429
2022-04-06,"宁德市","2022-03-30",2,350900,4,6.962,1.58,6.962,2.11639326503246,0.217002411065657,1.71252613377623,1.77254567960879,1.96626820821714,2.10898119011664,2.2584402287671,2.48552546109789,2.56237698732522,"omicron",2619,0.0233333333333333,315,6521,"omicron",1,288.126166594347,0.00828688865509774,0.932701957487461,0.907106622880344,0.492147972295199,0.615576195689038,0.8,0.257142857142857,0,0.333333333333333,0,0,0.833333333333333,0.25,0.55,0.5,0.4,0.385333333333333,0.128571428571429
2022-04-07,"宁德市","2022-03-30",2,350900,10,10.0868,1.45,10.0868,1.87993512464238,0.175604783808812,1.5515457016725,1.60071248849179,1.75870135345339,1.87447021184129,1.99521267596607,2.17779989717599,2.23937776021218,"omicron",2619,0.0233333333333333,315,6521,"omicron",1,288.810831145406,0.00733046571368669,0.932701957487461,0.907106622880344,0.492147972295199,0.615576195689038,0,0.257142857142857,0,0.333333333333333,0,0,0.833333333333333,0.25,0.55,0.5,0.4,0.385333333333333,0.128571428571429
2022-04-08,"宁德市","2022-03-30",2,350900,16,13.4436,1.33,13.4436,1.66259655283774,0.145390535095543,1.38986278888858,1.43089359048628,1.56235998382981,1.65836044762284,1.75821606385139,1.90874981154626,1.95940142004229,"omicron",2619,0.0233333333333333,315,6521,"omicron",1,287.899426147017,0.00538175477286603,0.932701957487461,0.907106622880344,0.492147972295199,0.615576195689038,0,0.257142857142857,0,0.333333333333333,0,0,0.833333333333333,0.25,0.55,0.5,0.4,0.385333333333333,0.128571428571429
2022-04-09,"宁德市","2022-03-30",2,350900,18,16.7633,1.25,16.7633,1.45442250920826,0.122656790016115,1.22396183538251,1.25871962812248,1.3699204830863,1.45097593372188,1.53516796180111,1.66188239265421,1.70446802204258,"omicron",2619,0.0233333333333333,315,6521,"omicron",1,289.474657443638,0.00826269454078439,0.932701957487461,0.907106622880344,0.492147972295199,0.615576195689038,0,0.257142857142857,0,0.333333333333333,0,0,0.833333333333333,0.25,0.55,0.5,0.4,0.385333333333333,0.128571428571429
2022-04-10,"宁德市","2022-03-30",2,350900,17,19.9029,1.19,19.9029,1.25904801556427,0.105560032900511,1.06065988759014,1.0905923269292,1.18633282653383,1.25609915609058,1.32854910722993,1.43756288701269,1.47419277605122,"omicron",2619,0.0233333333333333,315,6521,"omicron",1,291.785690906209,0.00943932871250041,0.932701957487461,0.907106622880344,0.492147972295199,0.615576195689038,0.533333333333333,0.171428571428571,0,0.375,0.05,0,0.85,0.421875,0.55,0.666666666666667,0.4,0.394875,0.0857142857142855
2022-04-11,"宁德市","2022-03-30",2,350900,22,22.5393,1.13,22.5393,1.08170464860953,0.0929084576717431,0.907279348744005,0.933553171469028,1.01767394615777,1.07904582126282,1.14283739692917,1.23892596405435,1.27123843232751,"omicron",2619,0.0233333333333333,315,6521,"omicron",1,293.986028678414,0.00980206733777544,0.933746459039885,0.908344820874134,0.501654186768569,0.61924347430738,0.5,0.152380952380952,0,0.416666666666666,0.1,0,0.866666666666667,0.59375,0.55,0.833333333333333,0.4,0.404416666666667,0.076190476190476
